iter	RMSE
0	176.050339
1	171.4092071
2	166.8262578
3	162.9920547
4	159.4651129
5	155.7646126
6	152.4543329
7	149.5460079
8	146.9887633
9	144.0738749
10	141.8250101
11	139.5817569
12	137.608956
13	135.620556
14	133.3916372
15	131.3226003
16	129.50171
17	127.912428
18	126.0900357
19	124.2927928
20	122.8218609
21	121.2882994
22	120.0159917
23	118.8054456
24	117.4289723
25	115.7164053
26	114.6090425
27	113.2801584
28	111.625221
29	110.6425049
30	109.607522
31	108.4866336
32	107.3784312
33	106.5981672
34	105.6200856
35	104.5030311
36	103.5060298
37	102.5186523
38	101.4947871
39	100.3801713
40	99.70464445
41	98.97016877
42	98.13726311
43	97.41614249
44	96.73836062
45	96.07284127
46	95.55850866
47	94.96982511
48	93.70443022
49	93.24720497
50	92.79902428
51	92.25173379
52	91.66524404
53	91.0431061
54	90.52334185
55	90.08298226
56	89.73661766
57	89.2626207
58	88.28875776
59	87.48247757
60	86.78928759
61	86.42416296
62	86.06351161
63	85.16349755
64	84.80016629
65	84.48467424
66	84.22695655
67	83.93082457
68	83.48485528
69	83.02855011
70	82.7207754
71	82.45163755
72	82.20237529
73	81.99494173
74	81.73771197
75	81.35190449
76	80.86972745
77	80.62366698
78	80.00193242
79	79.78369366
80	79.54012422
81	79.16146959
82	78.94745092
83	78.54949886
84	78.0309452
85	77.56947172
86	77.21952901
87	77.02117652
88	76.29377334
89	75.79596089
90	75.42640425
91	75.09192903
92	74.88103305
93	74.46768463
94	74.08224503
95	73.73996026
96	73.47034789
97	73.25531175
98	73.01420675
99	72.79976312
100	72.30856998
101	71.84716637
102	71.52255876
103	71.29038001
104	71.05545054
105	70.90858474
106	70.58527973
107	70.08314774
108	69.70134843
109	69.56804152
110	69.28409732
111	69.09858899
112	68.88980237
113	68.62163115
114	68.47185881
115	68.13055496
116	67.87035937
117	67.65546382
118	67.50318675
119	67.33954757
120	66.97033002
121	66.79901218
122	66.65419607
123	66.54331562
124	66.35918156
125	66.15509548
126	66.01562199
127	65.86456898
128	65.7426434
129	65.47908183
130	65.28797307
131	65.05290552
132	64.94401964
133	64.78247684
134	64.66430904
135	64.53819442
136	64.37647807
137	64.20450214
138	64.08243321
139	63.9760646
140	63.69955217
141	63.60173042
142	63.38066912
143	63.20171719
144	63.10652024
145	63.00935651
146	62.91846796
147	62.79622613
148	62.6790729
149	62.50111339
150	62.29469623
151	62.1906366
152	62.06600619
153	61.88164565
154	61.77176699
155	61.67533577
156	61.44885629
157	61.23960397
158	61.0644359
159	60.89910163
160	60.7840547
161	60.625513
162	60.51578885
163	60.43076948
164	60.33996037
165	60.21510962
166	60.10995493
167	60.02171184
168	59.9303316
169	59.73557518
170	59.55184949
171	59.47326876
172	59.35848147
173	59.1976534
174	59.10847311
175	58.9351681
176	58.8485628
177	58.75362659
178	58.63475702
179	58.47128048
180	58.39431323
181	58.27674653
182	58.15522923
183	58.0443262
184	57.95561158
185	57.86682054
186	57.76023719
187	57.69154868
188	57.55926446
189	57.44116669
190	57.31908648
191	57.2307597
192	57.07048604
193	56.98928745
194	56.89929734
195	56.76586683
196	56.66960278
197	56.56494826
198	56.48643974
199	56.40834403
200	56.25578692
201	56.16548413
202	56.076207
203	55.94061563
204	55.87170689
205	55.79698785
206	55.71069992
207	55.6363544
208	55.55227661
209	55.4214144
210	55.33703187
211	55.23178432
212	55.10875236
213	55.02625507
214	54.90934597
215	54.82176659
216	54.76394408
217	54.67666427
218	54.60333941
219	54.50971558
220	54.44090649
221	54.32799291
222	54.25429448
223	54.17787216
224	54.10447959
225	53.99650725
226	53.91661888
227	53.78913808
228	53.71776527
229	53.65016726
230	53.57789169
231	53.48049564
232	53.39226374
233	53.31627266
234	53.23165212
235	53.16599778
236	53.10430589
237	53.0526923
238	52.99018923
239	52.93404428
240	52.87334401
241	52.78631798
242	52.69126555
243	52.60208597
244	52.5477507
245	52.50560842
246	52.44578316
247	52.386863
248	52.32385518
249	52.24952644
250	52.18104194
251	52.10567385
252	52.03596093
253	51.9573756
254	51.89416104
